Nombres,Id,Géneros,Fecha en la que se añadió,Estación,Género General
Los Del Rio,2JXn03fudjyRkQ1Ye9f5rk,['tropical'],2020-06-22 11:30:07+00:00,Verano,Otros
Siempre Asi,19pSE6YNJgeX39rGEdave5,"['pop flamenco', 'rumba']",2020-06-22 11:30:20+00:00,Verano,Otros
Gipsy Kings,3jc496ljiyrS3ECrD7QiqL,"['flamenco', 'rumba', 'world']",2020-06-22 11:30:32+00:00,Verano,Flamenco
BER,6hyb6aOpQAw0VC1SQdq5P6,['NA'],2020-06-26 09:32:37+00:00,Verano,Otros
Anuel AA,2R21vXR83lH98kGeO99Y66,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",2020-06-26 09:33:52+00:00,Verano,Reggateon
Bilal Wahib,5wV3FoaNbDB6X9INuQvs1K,['dutch hip hop'],2020-06-26 09:34:51+00:00,Verano,Otros
DELLAFUENTE,4bJh7sMPcVRiqe5jlnsWQV,"['flamenco urbano', 'urbano espanol']",2020-06-26 09:35:09+00:00,Verano,Reggateon
Pepe y Vizio,4rvJ0Ktz2X2Erea9XUHxfu,['urbano espanol'],2020-06-26 09:35:09+00:00,Verano,Reggateon
Madonna,6tbjWDEIzxoDsBA1FuhfPW,"['dance pop', 'pop']",2020-06-26 09:44:03+00:00,Verano,Pop
Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50,"['latin arena pop', 'latin pop', 'spanish pop']",2020-06-27 19:10:01+00:00,Verano,Pop
Beret,0ZHPrnImGh4re3TbSNkoZl,"['spanish hip hop', 'spanish pop']",2020-06-27 19:10:01+00:00,Verano,Pop
Los Del Rio,2JXn03fudjyRkQ1Ye9f5rk,['tropical'],2020-06-29 07:50:10+00:00,Verano,Otros
Demarco Flamenco,4hFZibFsoIxictRvkZDjIc,"['flamenco urbano', 'pop flamenco']",2020-06-29 07:52:05+00:00,Verano,Otros
Sergio Contreras,5QYdUMRHeBxlpJioqpIL0k,"['flamenco urbano', 'pop flamenco', 'spanish pop']",2020-06-29 07:52:05+00:00,Verano,Pop
Rasel,1uh9OOdPa89c5zPaOD6K2N,"['electro latino', 'flamenco urbano', 'pop flamenco']",2020-06-29 07:52:05+00:00,Verano,Otros
Demarco Flamenco,4hFZibFsoIxictRvkZDjIc,"['flamenco urbano', 'pop flamenco']",2020-06-29 07:52:14+00:00,Verano,Otros
Andrae,5nhqjhE8NQjw0qGubzC2Jb,['NA'],2020-06-29 07:54:53+00:00,Verano,Otros
Horrible Sophie,3jF2QBg50gjXWWZlEm7ZY4,['NA'],2020-06-29 07:57:01+00:00,Verano,Otros
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,"['canadian pop', 'dance pop', 'pop']",2020-06-29 08:03:35+00:00,Verano,Pop
Belinda,5LeiVcEnsZcwc133TUhJNW,"['latin arena pop', 'latin pop', 'mexican pop']",2020-06-29 17:02:42+00:00,Verano,Pop
Lérica,4d3kmfoZBTuUPSUjgP45uo,['spanish pop'],2020-06-29 17:02:42+00:00,Verano,Pop
David Bisbal,5gOJTI4TusSENizxhcG7jB,"['latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']",2020-06-29 17:03:51+00:00,Verano,Pop
El Barrio,0fM3rWsshliRFUmJlBP6QZ,"['pop flamenco', 'rock andaluz', 'rumba', 'spanish pop']",2020-07-08 22:03:53+00:00,Verano,Pop
